code_name	patch	test_suite	test_case	defect
huffman	huffman.c._MIA_1.patch.c	test_suite4	input20.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input21.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input22.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input23.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input24.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input25.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input26.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input27.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input28.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input29.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input30.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input31.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input32.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input33.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input34.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input35.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input36.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input37.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input38.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input39.png	0
huffman	huffman.c._MIA_1.patch.c	test_suite4	input40.png	0
huffman	huffman.c._MIA_10.patch.c	test_suite1	input01.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite1	input02.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite1	input03.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite1	input04.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite1	input05.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite1	input06.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite1	input07.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite1	input08.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite1	input09.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite1	input10.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input01.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input02.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input03.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input04.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input05.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input06.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input07.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input08.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input09.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input10.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input11.png	1
huffman	huffman.c._MIA_10.patch.c	test_suite2	input12.png	1
